"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/setting/devise/components/uploadPic.vue","51","text","广告","广告","message.text.广告","$t('message.text.广告')"
"src/pages/setting/devise/components/uploadPic.vue","51","text","服务","服务","message.text.服务","$t('message.text.服务')"
"src/pages/setting/devise/components/uploadPic.vue","81","text","单选","单选","message.text.单选","$t('message.text.单选')"
"src/pages/setting/devise/components/uploadPic.vue","145","text","上传图片","上传图片","message.text.上传图片","$t('message.text.上传图片')"
"src/pages/setting/devise/components/uploadPic.vue","152","text","上传图片","上传图片","message.text.上传图片","$t('message.text.上传图片')"
"src/pages/setting/devise/diyIndex copy.vue","7","button","预览","预览","message.button.预览","$t('message.button.预览')"
"src/pages/setting/devise/diyIndex copy.vue","8","button","关闭","关闭","message.button.关闭","$t('message.button.关闭')"
"src/pages/setting/devise/diyIndex copy.vue","9","button","保存","保存","message.button.保存","$t('message.button.保存')"
"src/pages/setting/devise/diyIndex copy.vue","16","text","左侧","左侧","message.text.左侧","$t('message.text.左侧')"
"src/pages/setting/devise/diyIndex copy.vue","47","text","搜索框","搜索框","message.text.搜索框","$t('message.text.搜索框')"
"src/pages/setting/devise/diyIndex copy.vue","47","text","商品分类","商品分类","message.text.商品分类","$t('message.text.商品分类')"
"src/pages/setting/devise/diyIndex copy.vue","51","text","搜索框","搜索框","message.text.搜索框","$t('message.text.搜索框')"
"src/pages/setting/devise/diyIndex copy.vue","52","text","商品分类","商品分类","message.text.商品分类","$t('message.text.商品分类')"
"src/pages/setting/devise/diyIndex copy.vue","61","text","释放鼠标将组建添加到此处","释放鼠标将组建添加到此处","message.text.释放鼠标将组建添加到此处","$t('message.text.释放鼠标将组建添加到此处')"
"src/pages/setting/devise/diyIndex copy.vue","69","button","保存","保存","message.button.保存","$t('message.button.保存')"
"src/pages/setting/devise/diyIndex copy.vue","74","button","复制","复制","message.button.复制","$t('message.button.复制')"
"src/pages/setting/devise/diyIndex copy.vue","76","text","地址","地址","message.text.地址","$t('message.text.地址')"
"src/pages/setting/devise/diyIndex copy.vue","78","text","参数","参数","message.text.参数","$t('message.text.参数')"
"src/pages/setting/devise/diyIndex copy.vue","82","text","例如","例如","message.text.例如","$t('message.text.例如')"
"src/pages/setting/devise/diyIndex copy.vue","87","text","中间","中间","message.text.中间","$t('message.text.中间')"
"src/pages/setting/devise/diyIndex copy.vue","93","button","页面设置","页面设置","message.button.页面设置","$t('message.button.页面设置')"
"src/pages/setting/devise/diyIndex copy.vue","95","button","另存模板","另存模板","message.button.另存模板","$t('message.button.另存模板')"
"src/pages/setting/devise/diyIndex copy.vue","97","button","重置","重置","message.button.重置","$t('message.button.重置')"
"src/pages/setting/devise/diyIndex copy.vue","174","text","删除当前模块","删除当前模块","message.text.删除当前模块","$t('message.text.删除当前模块')"
"src/pages/setting/devise/diyIndex copy.vue","193","button","设置默认","设置默认","message.button.设置默认","$t('message.button.设置默认')"
"src/pages/setting/devise/diyIndex copy.vue","194","button","恢复默认","恢复默认","message.button.恢复默认","$t('message.button.恢复默认')"
"src/pages/setting/devise/diyIndex copy.vue","199","text","右侧","右侧","message.text.右侧","$t('message.text.右侧')"
"src/pages/setting/devise/diyIndex copy.vue","214","title","预览","预览","message.title.预览","$t('message.title.预览')"
"src/pages/setting/devise/diyIndex copy.vue","219","text","公众号二维码","公众号二维码","message.text.公众号二维码","$t('message.text.公众号二维码')"
"src/pages/setting/devise/diyIndex copy.vue","225","text","小程序二维码","小程序二维码","message.text.小程序二维码","$t('message.text.小程序二维码')"
"src/pages/setting/devise/diyIndex copy.vue","230","title","设置模版名称","设置模版名称","message.title.设置模版名称","$t('message.title.设置模版名称')"
"src/pages/setting/devise/diyIndex copy.vue","231","placeholder","请输入模版名称","请输入模版名称","message.placeholder.请输入模版名称","$t('message.placeholder.请输入模版名称')"
"src/pages/setting/devise/diyIndex copy.vue","233","button","取","取","message.button.取","$t('message.button.取')"
"src/pages/setting/devise/diyIndex copy.vue","233","button","消","消","message.button.消","$t('message.button.消')"
"src/pages/setting/devise/diyIndex copy.vue","234","button","确","确","message.button.确","$t('message.button.确')"
"src/pages/setting/devise/diyIndex copy.vue","234","button","定","定","message.button.定","$t('message.button.定')"
"src/pages/setting/devise/diyIndex copy.vue","273","text","首页","首页","message.text.首页","$t('message.text.首页')"
"src/pages/setting/devise/diyIndex copy.vue","274","text","模板","模板","message.text.模板","$t('message.text.模板')"
"src/pages/setting/devise/diyIndex copy.vue","285","text","页面动态高度","页面动态高度","message.text.页面动态高度","$t('message.text.页面动态高度')"
"src/pages/setting/devise/diyIndex copy.vue","287","text","左侧菜单","左侧菜单","message.text.左侧菜单","$t('message.text.左侧菜单')"
"src/pages/setting/devise/diyIndex copy.vue","288","text","左侧组件","左侧组件","message.text.左侧组件","$t('message.text.左侧组件')"
"src/pages/setting/devise/diyIndex copy.vue","289","text","中间组件渲染","中间组件渲染","message.text.中间组件渲染","$t('message.text.中间组件渲染')"
"src/pages/setting/devise/diyIndex copy.vue","290","text","右侧组件配置","右侧组件配置","message.text.右侧组件配置","$t('message.text.右侧组件配置')"
"src/pages/setting/devise/diyIndex copy.vue","292","text","组件传递的数据","组件传递的数据","message.text.组件传递的数据","$t('message.text.组件传递的数据')"
"src/pages/setting/devise/diyIndex copy.vue","293","text","选中的下标","选中的下标","message.text.选中的下标","$t('message.text.选中的下标')"
"src/pages/setting/devise/diyIndex copy.vue","302","text","组件库","组件库","message.text.组件库","$t('message.text.组件库')"
"src/pages/setting/devise/diyIndex copy.vue","306","text","页面链接","页面链接","message.text.页面链接","$t('message.text.页面链接')"
"src/pages/setting/devise/diyIndex copy.vue","340","text","刷新页面将丢失内容","刷新页面将丢失内容","message.text.刷新页面将丢失内容","$t('message.text.刷新页面将丢失内容')"
"src/pages/setting/devise/diyIndex copy.vue","340","text","是否继续","是否继续","message.text.是否继续","$t('message.text.是否继续')"
"src/pages/setting/devise/diyIndex copy.vue","353","text","购物车","购物车","message.text.购物车","$t('message.text.购物车')"
"src/pages/setting/devise/diyIndex copy.vue","358","text","专题页是否显示","专题页是否显示","message.text.专题页是否显示","$t('message.text.专题页是否显示')"
"src/pages/setting/devise/diyIndex copy.vue","367","text","获取浏览器可视区域高度","获取浏览器可视区域高度","message.text.获取浏览器可视区域高度","$t('message.text.获取浏览器可视区域高度')"
"src/pages/setting/devise/diyIndex copy.vue","380","text","请先输入模板名称","请先输入模板名称","message.text.请先输入模板名称","$t('message.text.请先输入模板名称')"
"src/pages/setting/devise/diyIndex copy.vue","405","text","需要转换为二维码的内容","需要转换为二维码的内容","message.text.需要转换为二维码的内容","$t('message.text.需要转换为二维码的内容')"
"src/pages/setting/devise/diyIndex copy.vue","415","text","提示","提示","message.text.提示","$t('message.text.提示')"
"src/pages/setting/devise/diyIndex copy.vue","416","text","关闭页面前请先保存数据","关闭页面前请先保存数据","message.text.关闭页面前请先保存数据","$t('message.text.关闭页面前请先保存数据')"
"src/pages/setting/devise/diyIndex copy.vue","416","text","未保存的话数据会丢失","未保存的话数据会丢失","message.text.未保存的话数据会丢失","$t('message.text.未保存的话数据会丢失')"
"src/pages/setting/devise/diyIndex copy.vue","418","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/setting/devise/diyIndex copy.vue","419","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/setting/devise/diyIndex copy.vue","452","text","复制成功","复制成功","message.text.复制成功","$t('message.text.复制成功')"
